customerID,MonthlyCharges,churn_flag,churn_probability,annual_revenue_exposure,revenue_at_risk,risk_band
1069-XAIEM,85.05,1,0.8884348,1020.5999999999999,906.7365847706794,Critical
0295-PPHDO,95.45,1,0.87880355,1145.4,1006.5815875411034,Critical
6861-XWTWQ,99.25,1,0.86878306,1191.0,1034.720620572567,Critical
7180-PISOG,74.5,1,0.8665053,894.0,774.6557604074478,Critical
5178-LMXOP,95.1,1,0.86602044,1141.1999999999998,988.3025273323058,Critical
2609-IAICY,77.15,1,0.86480105,925.8000000000001,800.6328113794327,Critical
7181-BQYBV,102.45,1,0.85895324,1229.4,1055.9971102237703,Critical
9248-OJYKK,76.45,1,0.8584916,917.4000000000001,787.5801934361458,Critical
6857-VWJDT,95.65,1,0.8567599,1147.8000000000002,983.3890198946001,Critical
4927-WWOOZ,91.45,0,0.8527277,1097.4,935.7833902716637,Critical
3722-WPXTK,88.35,1,0.8519904,1060.1999999999998,903.2802239298819,Critical
3006-XIMLN,94.2,1,0.8509822,1130.4,961.9502666473389,Critical
5167-ZFFMM,90.85,1,0.8495977,1090.1999999999998,926.231404352188,Critical
0970-ETWGE,89.55,1,0.8488417,1074.6,912.165319597721,Critical
2202-CUYXZ,84.85,1,0.84750766,1018.1999999999999,862.9322949528694,Critical
6023-YEBUP,100.95,1,0.8460926,1211.4,1024.956553530693,Critical
1628-BIZYP,85.0,0,0.84365124,1020.0,860.5242598056793,Critical
8884-ADFVN,101.95,1,0.8424709,1223.4,1030.6788798809052,Critical
0655-RBDUG,98.05,1,0.8386914,1176.6,986.8043170094489,Critical
4415-IJZTP,74.5,1,0.8376601,894.0,748.8681063652039,Critical
8161-QYMTT,94.1,0,0.8359049,1129.1999999999998,943.9038088560103,Critical
4587-VVTOX,105.3,1,0.83351433,1263.6,1053.2287108898163,Critical
9057-SIHCH,96.6,1,0.8293182,1159.1999999999998,961.3456868648527,Critical
3422-LYEPQ,71.0,1,0.827622,852.0,705.1339409351349,Critical
0679-IDSTG,69.25,1,0.8275985,831.0,687.7343636155128,Critical
0235-KGSLC,85.55,1,0.82565534,1026.6,847.6177732229232,Critical
9507-EXLTT,79.35,1,0.8247925,952.1999999999999,785.3674226045608,Critical
1400-MMYXY,105.9,1,0.82408327,1270.8000000000002,1047.2450177907945,Critical
5542-TBBWB,69.9,0,0.82302296,838.8000000000001,690.3516602039338,Critical
3707-GNWHM,74.25,1,0.8228782,891.0,733.1844601035118,Critical
3519-ZKXGG,75.85,1,0.8216481,910.1999999999999,747.8641196250915,Critical
2514-GINMM,79.5,1,0.8212196,954.0,783.4435204267502,Critical
5196-SGOAK,75.7,1,0.82095134,908.4000000000001,745.7521996021271,Critical
2254-DLXRI,79.15,0,0.82063526,949.8000000000001,779.4393691420555,Critical
8821-XNHVZ,80.05,1,0.8195588,960.5999999999999,787.2681825757026,Critical
8622-ZLFKO,90.75,0,0.8189484,1089.0,891.8347946405411,Critical
8775-ERLNB,74.3,0,0.81588227,891.5999999999999,727.4406279802322,Critical
5052-PNLOS,105.35,1,0.81326944,1264.1999999999998,1028.1352214455603,Critical
5376-DEQCP,70.6,1,0.8120534,847.1999999999999,687.9716255664825,Critical
3716-BDVDB,69.1,1,0.81078476,829.1999999999999,672.3027206182479,Critical
7409-KIUTL,71.0,1,0.81045467,852.0,690.5073759555817,Critical
1820-TQVEV,69.55,1,0.804693,834.5999999999999,671.5967641353607,Critical
6630-UJZMY,83.25,0,0.80432695,999.0,803.5226245522499,Critical
2545-EBUPK,84.05,0,0.80199414,1008.5999999999999,808.8912945628166,Critical
1853-UDXBW,70.0,1,0.8013812,840.0,673.160183429718,Critical
1448-PWKYE,80.0,1,0.7998943,960.0,767.8985023498535,Critical
1143-NMNQJ,85.7,1,0.7996814,1028.4,822.3923775672913,Critical
6372-RFVNS,78.8,1,0.7974981,945.5999999999999,754.1142099380493,Critical
4750-ZRXIU,84.6,1,0.79728216,1015.1999999999999,809.4008481502533,Critical
2865-TCHJW,89.2,1,0.79696345,1070.4,853.0696804046631,Critical
6979-ZNSFF,87.05,1,0.7911697,1044.6,826.4558717608451,Critical
8083-YTZES,74.35,1,0.788203,892.1999999999999,703.2347175121307,Critical
6230-BSUXY,85.0,1,0.78782547,1020.0,803.5819745063782,Critical
1980-KXVPM,75.05,1,0.7873204,900.5999999999999,709.0607301235199,Critical
8593-WHYHV,85.3,1,0.78654087,1023.5999999999999,805.1032303333282,Critical
7249-WBIYX,85.6,1,0.7854491,1027.1999999999998,806.8133028030394,Critical
3244-DCJWY,70.25,1,0.78491443,843.0,661.6828678250313,Critical
2867-UIMSS,80.5,1,0.7831291,966.0,756.5027067661285,Critical
2754-SDJRD,100.15,0,0.77850884,1201.8000000000002,935.6119263052942,Critical
7817-BOQPW,75.55,1,0.7782919,906.5999999999999,705.5994193911552,Critical
9804-ICWBG,69.9,1,0.77629703,838.8000000000001,651.1579511404038,Critical
5186-SAMNZ,69.5,1,0.7721686,834.0,643.9885929822922,Critical
1731-TVIUK,93.5,1,0.7674115,1122.0,861.0356698036194,Critical
8380-PEFPE,71.65,1,0.7671005,859.8000000000001,659.5530210614205,Critical
9747-DDZOS,73.5,1,0.7634782,882.0,673.387789607048,Critical
8739-XNIKG,84.0,0,0.76065725,1008.0,766.7425088882446,Critical
6969-MVBAI,90.1,0,0.7606365,1081.1999999999998,822.400192952156,Critical
2027-FECZV,106.7,1,0.75889367,1280.4,971.6874533414841,Critical
7218-HKQFK,94.2,1,0.7583621,1130.4,857.2525341510774,Critical
2034-GDRCN,90.4,1,0.75805956,1084.8000000000002,822.3430120468141,Critical
8375-DKEBR,69.6,1,0.7557886,835.1999999999999,631.2346590042114,Critical
5419-CONWX,99.8,1,0.754736,1197.6,903.871841096878,Critical
0841-NULXI,35.55,1,0.7512651,426.59999999999997,320.48969532251357,Critical
6328-ZPBGN,95.15,1,0.74840486,1141.8000000000002,854.5286697149278,High
8443-ZRDBZ,76.05,1,0.7483158,912.5999999999999,682.9130092620849,High
1320-HTRDR,75.5,1,0.7470746,906.0,676.849591255188,High
4229-CZMLL,74.9,1,0.7440338,898.8000000000001,668.7375915527344,High
6910-HADCM,76.35,1,0.7433805,916.1999999999999,681.0852021574974,High
7209-JCUDS,94.9,1,0.7431698,1138.8000000000002,846.3217506408693,High
2077-MPJQO,75.4,0,0.7424999,904.8000000000001,671.8138986110688,High
9878-TNQGW,80.95,1,0.74152875,971.4000000000001,720.3210272312165,High
7005-CCBKV,84.4,1,0.741403,1012.8000000000001,750.8929418563844,High
8361-LTMKD,74.4,1,0.7392776,892.8000000000001,660.027042388916,High
8258-GSTJK,77.0,1,0.7372908,924.0,681.256698846817,High
9334-GWGOW,74.85,0,0.73395705,898.1999999999999,659.2402243137359,High
4713-LZDRV,79.6,1,0.7274736,955.1999999999999,694.882798576355,High
4090-KPJIP,74.95,0,0.7251023,899.4000000000001,652.1570134878159,High
3292-PBZEJ,111.4,0,0.72498083,1336.8000000000002,969.1543750762941,High
4445-ZJNMU,99.3,0,0.72491735,1191.6,863.811516880989,High
4115-NZRKS,89.15,0,0.7241244,1069.8000000000002,774.6682531714441,High
2845-HSJCY,87.25,1,0.7240228,1047.0,758.0518775582314,High
7363-QTBIW,79.75,0,0.72362334,957.0,692.507531940937,High
3585-ISXZP,95.65,1,0.72246534,1147.8000000000002,829.2457130312921,High
3677-IYRBF,30.4,1,0.72156066,364.79999999999995,263.2253276824951,High
7130-VTEWQ,75.75,1,0.72106403,909.0,655.4472042918205,High
0871-URUWO,102.25,1,0.7204999,1227.0,884.0533443689346,High
2485-ITVKB,35.1,1,0.7202067,421.20000000000005,303.35105273723605,High
8266-VBFQL,90.4,0,0.71868217,1084.8000000000002,779.6264179229738,High
8132-YPVBX,85.95,0,0.71838856,1031.4,740.9459581375123,High
7235-NXZCP,74.85,1,0.71700203,898.1999999999999,644.011227107048,High
4919-IKATY,84.5,1,0.7152568,1014.0,725.2704055309296,High
2959-MJHIC,80.35,1,0.7138265,964.1999999999999,688.2714896321296,High
9940-RHLFB,75.3,1,0.71282613,903.5999999999999,644.1096935749054,High
4806-KEXQR,79.9,1,0.7116381,958.8000000000001,682.3186035633088,High
9221-OTIVJ,104.85,1,0.71015537,1258.1999999999998,893.5174838304519,High
9741-YLNTD,87.95,0,0.70928085,1055.4,748.5750075101853,High
1024-GUALD,24.8,1,0.7080485,297.6,210.71524028778077,High
8245-UMPYT,96.4,1,0.7032748,1156.8000000000002,813.5482729911805,High
1522-VVDMG,89.75,1,0.7010151,1077.0,754.9932786226273,High
0876-WDUUZ,85.4,1,0.6963461,1024.8000000000002,713.6154875278474,High
5501-TVMGM,55.25,0,0.69604224,663.0,461.4760048985481,High
2919-HBCJO,76.65,1,0.6942506,919.8000000000001,638.5716868400574,High
0390-DCFDQ,70.45,1,0.6920379,845.4000000000001,585.048824107647,High
8873-GLDMH,73.85,0,0.6905578,886.1999999999999,611.9723027586937,High
8752-STIVR,79.0,1,0.6868678,948.0,651.1506493091583,High
9611-CTWIH,89.45,1,0.68283993,1073.4,732.9603809237481,High
8699-ASUFO,74.4,1,0.6792619,892.8000000000001,606.445044708252,High
3877-JRJIP,59.85,1,0.6783785,718.2,487.21145478487017,High
8397-MVTAZ,100.05,1,0.6775124,1200.6,813.4213962078094,High
2057-ZBLPD,86.5,1,0.6765661,1038.0,702.2756366729736,High
6856-RAURS,74.9,0,0.675671,898.8000000000001,607.2930780887605,High
7354-OIJLX,75.85,0,0.6726919,910.1999999999999,612.2841506838798,High
2985-FMWYF,93.5,0,0.67220455,1122.0,754.2135096788406,High
5159-YFPKQ,75.8,1,0.6717101,909.5999999999999,610.9874832630156,High
8541-QVFKM,73.5,0,0.67034954,882.0,591.2482928037643,High
3320-VEOYC,95.6,0,0.66999567,1147.1999999999998,768.6190275192259,High
7273-TEFQD,41.15,1,0.66967314,493.79999999999995,330.6845989108085,High
5382-SOYZL,95.1,0,0.6685439,1141.1999999999998,762.9422703981398,High
3721-CNEYS,70.95,1,0.66766906,851.4000000000001,568.4534358501435,High
3338-CVVEH,94.55,0,0.66739905,1134.6,757.2309607744216,High
5357-TZHPP,84.4,1,0.666501,1012.8000000000001,675.0321982383729,High
6608-QQLVK,50.5,1,0.6657524,606.0,403.44596099853516,High
2761-OCIAX,74.7,1,0.6644096,896.4000000000001,595.5767455816269,High
9643-AVVWI,80.0,0,0.6640681,960.0,637.5053787231445,High
3030-YDNRM,74.85,0,0.6635982,898.1999999999999,596.0438851118088,High
6821-BUXUX,96.65,1,0.6633044,1159.8000000000002,769.3004298090935,High
3199-XGZCY,75.25,0,0.66202515,903.0,597.8087137341499,High
9851-KIELU,110.1,1,0.66112775,1321.1999999999998,873.4819781541823,High
3063-QFSZL,55.4,1,0.6601652,664.8,438.877818775177,High
1751-NCDLI,98.85,0,0.6519983,1186.1999999999998,773.4003614902496,High
4735-ASGMA,98.35,1,0.6506318,1180.1999999999998,767.8756331205367,High
6077-BDPXA,70.15,0,0.6502078,841.8000000000001,547.3449408173561,High
3750-CKVKH,67.75,1,0.6490809,813.0,527.7027493715286,High
7861-UVUFT,84.3,1,0.6488788,1011.5999999999999,656.4058070182799,High
